date,close,volume
2024-08-05,469.0,387400
2024-08-06,505.5,182000
2024-08-07,516.0,152000
2024-08-08,513.5,74800
2024-08-09,587.5,488000
2024-08-13,583.0,249000
2024-08-14,595.5,97400
2024-08-15,604.0,145000
2024-08-16,609.5,138400
2024-08-19,601.0,112800
2024-08-20,602.5,77200
2024-08-21,602.5,69000
2024-08-22,594.0,87800
2024-08-23,595.0,63800
2024-08-26,589.0,108000
2024-08-27,604.0,205600
2024-08-28,605.5,175600
2024-08-29,626.5,402800
2024-08-30,627.5,329400
2024-09-02,635.5,296000
2024-09-03,646.0,314800
2024-09-04,638.5,391000
2024-09-05,648.5,520600
2024-09-06,639.0,333600
2024-09-09,645.0,265000
2024-09-10,646.0,189600
2024-09-11,616.0,211000
2024-09-12,618.0,215400
2024-09-13,641.5,159600
2024-09-17,634.5,121200
2024-09-18,644.5,149400
2024-09-19,647.5,128000
2024-09-20,658.0,157200
2024-09-24,658.5,217800
2024-09-25,637.5,248400
2024-09-26,644.5,860000
2024-09-27,674.0,474000
2024-09-30,666.0,219600
2024-10-01,672.5,115800
2024-10-02,658.0,106600
2024-10-03,651.0,91200
2024-10-04,696.5,342400
2024-10-07,682.5,223400
2024-10-08,678.0,116400
2024-10-09,668.5,93600
2024-10-10,665.5,93200
2024-10-11,661.5,43400
2024-10-15,701.0,218400
2024-10-16,687.0,101200
2024-10-17,681.5,135600
2024-10-18,677.0,54600
2024-10-21,675.0,79200
2024-10-22,657.0,113000
2024-10-23,636.0,164000
2024-10-24,634.5,76400
2024-10-25,615.0,82400
2024-10-28,616.0,78200
2024-10-29,616.5,104800
2024-10-30,608.5,148200
2024-10-31,623.0,93000
2024-11-01,615.5,106000
2024-11-05,636.0,125800
2024-11-06,627.5,168600
2024-11-07,637.0,154600
2024-11-08,603.0,679000
2024-11-11,617.0,177600
2024-11-12,612.5,93800
2024-11-13,612.5,91400
2024-11-14,612.0,100200
2024-11-15,620.5,79000
2024-11-18,622.0,70600
2024-11-19,626.5,98200
2024-11-20,629.0,66000
2024-11-21,636.0,54600
2024-11-22,642.5,39400
2024-11-25,630.0,184600
2024-11-26,630.0,90600
2024-11-27,628.5,71000
2024-11-28,641.5,92000
2024-11-29,643.5,71200
2024-12-02,651.5,84400
2024-12-03,660.0,119600
2024-12-04,638.5,89400
2024-12-05,659.0,71000
2024-12-06,647.0,113400
2024-12-09,650.5,53800
2024-12-10,642.0,44600
2024-12-11,648.5,53600
2024-12-12,664.5,124400
2024-12-13,663.0,144400
2024-12-16,658.5,40800
2024-12-17,653.0,46200
2024-12-18,656.5,39400
2024-12-19,672.5,65200
2024-12-20,663.5,60400
2024-12-23,676.5,52000
2024-12-24,669.0,75800
2024-12-25,674.5,52200
2024-12-26,697.5,182800
2024-12-27,699.0,135400
2024-12-30,686.5,107200
2025-01-06,682.5,110000
2025-01-07,674.0,137400
2025-01-08,674.5,53000
2025-01-09,668.0,89800
2025-01-10,661.5,66200
2025-01-14,652.0,135800
2025-01-15,652.5,49800
2025-01-16,651.5,43000
2025-01-17,651.5,53400
2025-01-20,660.5,40600
2025-01-21,655.0,32200
