date,close,volume
2024-08-05,2046.0,4825700
2024-08-06,2206.5,3439200
2024-08-07,2195.5,4549100
2024-08-08,2162.5,3154900
2024-08-09,2200.0,3916100
2024-08-13,2325.0,4157800
2024-08-14,2382.0,3033000
2024-08-15,2411.0,2825400
2024-08-16,2451.5,3339300
2024-08-19,2409.5,1532700
2024-08-20,2425.5,1225200
2024-08-21,2400.0,2143100
2024-08-22,2391.0,1499300
2024-08-23,2436.5,2357000
2024-08-26,2383.5,1521300
2024-08-27,2393.0,1541700
2024-08-28,2409.0,1665800
2024-08-29,2437.5,2009400
2024-08-30,2448.5,2009400
2024-09-02,2458.0,1218000
2024-09-03,2521.0,1958900
2024-09-04,2386.0,2540100
2024-09-05,2344.5,2316300
2024-09-06,2347.5,1562200
2024-09-09,2313.0,1797400
2024-09-10,2287.0,1334900
2024-09-11,2288.5,2137400
2024-09-12,2346.5,2210700
2024-09-13,2394.0,3282600
2024-09-17,2366.0,2444700
2024-09-18,2432.0,2571000
2024-09-19,2493.0,2258200
2024-09-20,2539.0,2735500
2024-09-24,2516.0,2575100
2024-09-25,2479.5,2213800
2024-09-26,2534.5,2878200
2024-09-27,2515.0,2421900
2024-09-30,2495.0,2090700
2024-10-01,2548.5,1573600
2024-10-02,2477.0,2092400
2024-10-03,2521.0,1828100
2024-10-04,2557.5,1352000
2024-10-07,2638.0,2002100
2024-10-08,2570.5,1187500
2024-10-09,2552.0,1441600
2024-10-10,2578.5,1691800
2024-10-11,2575.0,1373200
2024-10-15,2598.0,1640300
2024-10-16,2582.5,1444000
2024-10-17,2572.5,1103500
2024-10-18,2570.0,1047400
2024-10-21,2535.5,963600
2024-10-22,2497.0,1357000
2024-10-23,2473.0,1069700
2024-10-24,2468.5,1341900
2024-10-25,2444.0,924500
2024-10-28,2458.0,1500900
2024-10-29,2488.0,1271800
2024-10-30,2485.5,2410600
2024-10-31,2468.5,1933000
2024-11-01,2391.0,3319200
2024-11-05,2430.0,1831100
2024-11-06,2510.0,2407800
2024-11-07,2608.5,3020100
2024-11-08,2605.5,1723200
2024-11-11,2581.5,1169200
2024-11-12,2593.0,1530500
2024-11-13,2600.0,2221800
2024-11-14,2536.5,3982300
2024-11-15,2472.5,4151800
2024-11-18,2469.0,2170200
2024-11-19,2498.5,1984800
