date,close,volume
2024-08-05,1346.0,28400
2024-08-06,1372.0,11900
2024-08-07,1369.0,12100
2024-08-08,1351.0,7500
2024-08-09,1355.0,13500
2024-08-13,1364.0,8400
2024-08-14,1376.0,4000
2024-08-15,1375.0,7300
2024-08-16,1381.0,4600
2024-08-19,1372.0,4900
2024-08-20,1375.0,4200
2024-08-21,1377.0,2600
2024-08-22,1380.0,4300
2024-08-23,1376.0,9400
2024-08-26,1370.0,15100
2024-08-27,1372.0,3900
2024-08-28,1371.0,4000
2024-08-29,1374.0,2300
2024-08-30,1372.0,2500
2024-09-02,1380.0,5900
2024-09-03,1379.0,2600
2024-09-04,1369.0,6100
2024-09-05,1371.0,7600
2024-09-06,1369.0,4300
2024-09-09,1362.0,6500
2024-09-10,1362.0,3300
2024-09-11,1345.0,9100
2024-09-12,1352.0,8800
2024-09-13,1359.0,10600
2024-09-17,1371.0,11100
2024-09-18,1377.0,5400
2024-09-19,1384.0,6300
2024-09-20,1384.0,4700
2024-09-24,1414.0,8900
2024-09-25,1420.0,19400
2024-09-26,1444.0,13900
2024-09-27,1427.0,14800
2024-09-30,1390.0,7900
2024-10-01,1414.0,6600
2024-10-02,1384.0,9000
2024-10-03,1403.0,4900
2024-10-04,1416.0,5800
2024-10-07,1408.0,10400
2024-10-08,1409.0,3200
2024-10-09,1396.0,5300
2024-10-10,1388.0,3300
2024-10-11,1388.0,4800
2024-10-15,1387.0,9800
2024-10-16,1382.0,2800
2024-10-17,1391.0,2900
2024-10-18,1380.0,2300
2024-10-21,1371.0,4700
2024-10-22,1373.0,3400
2024-10-23,1369.0,3100
2024-10-24,1394.0,6200
2024-10-25,1375.0,8600
2024-10-28,1390.0,2900
2024-10-29,1395.0,2100
2024-10-30,1358.0,19300
2024-10-31,1379.0,4200
2024-11-01,1370.0,1600
2024-11-05,1370.0,2700
2024-11-06,1381.0,3600
2024-11-07,1384.0,7600
2024-11-08,1390.0,2300
2024-11-11,1371.0,3500
2024-11-12,1378.0,3700
2024-11-13,1374.0,3700
2024-11-14,1374.0,2700
2024-11-15,1380.0,3400
2024-11-18,1390.0,2200
2024-11-19,1380.0,1900
2024-11-20,1388.0,2000
2024-11-21,1392.0,1600
2024-11-22,1398.0,3700
2024-11-25,1400.0,8400
2024-11-26,1398.0,1500
2024-11-27,1378.0,2400
2024-11-28,1377.0,6100
2024-11-29,1366.0,3800
2024-12-02,1374.0,2500
2024-12-03,1368.0,11600
2024-12-04,1370.0,2600
2024-12-05,1385.0,5100
2024-12-06,1390.0,2700
2024-12-09,1409.0,10300
2024-12-10,1417.0,23600
2024-12-11,1410.0,7200
2024-12-12,1411.0,5900
2024-12-13,1402.0,5500
2024-12-16,1415.0,4700
2024-12-17,1420.0,4800
2024-12-18,1420.0,3800
2024-12-19,1424.0,3100
2024-12-20,1423.0,6000
2024-12-23,1430.0,6500
2024-12-24,1430.0,3100
2024-12-25,1440.0,7500
2024-12-26,1433.0,6500
2024-12-27,1440.0,4900
2024-12-30,1406.0,5400
2025-01-06,1377.0,8600
2025-01-07,1394.0,9200
2025-01-08,1387.0,21200
2025-01-09,1374.0,5900
2025-01-10,1375.0,2900
2025-01-14,1380.0,6100
2025-01-15,1368.0,8400
2025-01-16,1355.0,5200
2025-01-17,1358.0,3900
2025-01-20,1416.0,24700
2025-01-21,1407.0,3700
2025-01-22,1403.0,4900
2025-01-23,1421.0,7000
2025-01-24,1409.0,8800
2025-01-27,1415.0,1500
2025-01-28,1423.0,3000
2025-01-29,1412.0,5000
2025-01-30,1432.0,4700
2025-01-31,1424.0,2500
2025-02-03,1376.0,8100
2025-02-04,1384.0,8500
2025-02-05,1385.0,5400
2025-02-06,1406.0,2600
2025-02-07,1421.0,3300
2025-02-10,1404.0,3700
2025-02-12,1410.0,6900
2025-02-13,1424.0,4000
2025-02-14,1423.0,5900
2025-02-17,1410.0,7900
2025-02-18,1406.0,3200
2025-02-19,1391.0,3200
2025-02-20,1399.0,5200
2025-02-21,1415.0,4600
2025-02-25,1407.0,13400
2025-02-26,1396.0,3900
2025-02-27,1410.0,2500
2025-02-28,1396.0,3700
2025-03-03,1419.0,4200
2025-03-04,1399.0,3900
2025-03-05,1417.0,3400
2025-03-06,1420.0,4000
2025-03-07,1403.0,4500
2025-03-10,1415.0,2700
2025-03-11,1394.0,4400
2025-03-12,1391.0,8900
2025-03-13,1407.0,3600
2025-03-14,1420.0,7900
2025-03-17,1412.0,6700
2025-03-18,1411.0,4900
2025-03-19,1417.0,1700
2025-03-21,1418.0,2500
2025-03-24,1408.0,10000
2025-03-25,1410.0,9600
2025-03-26,1426.0,9600
2025-03-27,1435.0,9000
2025-03-28,1435.0,7800
2025-03-31,1402.0,7500
2025-04-01,1400.0,4500
2025-04-02,1400.0,5100
2025-04-03,1376.0,8200
2025-04-04,1350.0,10900
2025-04-07,1333.0,14400
2025-04-08,1393.0,8200
2025-04-09,1344.0,10400
2025-04-10,1383.0,5000
2025-04-11,1397.0,8400
2025-04-14,1418.0,7400
2025-04-15,1412.0,8000
2025-04-16,1402.0,5600
2025-04-17,1393.0,2700
2025-04-18,1414.0,4100
2025-04-21,1416.0,6400
2025-04-22,1410.0,10400
2025-04-23,1430.0,7500
2025-04-24,1430.0,5900
2025-04-25,1401.0,11500
2025-04-28,1434.0,7300
2025-04-30,1434.0,7000
2025-05-01,1425.0,4300
2025-05-02,1425.0,4000
2025-05-07,1415.0,5500
2025-05-08,1414.0,4800
2025-05-09,1415.0,5200
2025-05-12,1420.0,7300
2025-05-13,1416.0,4000
2025-05-14,1417.0,4500
2025-05-15,1407.0,7200
2025-05-16,1385.0,9700
2025-05-19,1431.0,38200
2025-05-20,1405.0,8800
2025-05-21,1417.0,5000
2025-05-22,1408.0,7400
2025-05-23,1419.0,9100
2025-05-26,1410.0,9800
2025-05-27,1410.0,3900
2025-05-28,1410.0,7600
2025-05-29,1404.0,10600
2025-05-30,1385.0,6200
2025-06-02,1381.0,6500
2025-06-03,1378.0,7700
2025-06-04,1376.0,4200
2025-06-05,1380.0,6000
2025-06-06,1376.0,3700
2025-06-09,1378.0,3200
2025-06-10,1374.0,4300
2025-06-11,1371.0,5000
2025-06-12,1369.0,4900
2025-06-13,1371.0,9300
2025-06-16,1365.0,9500
2025-06-17,1371.0,2900
2025-06-18,1369.0,2700
2025-06-19,1370.0,4400
2025-06-20,1365.0,6300
2025-06-23,1373.0,2900
2025-06-24,1383.0,5100
2025-06-25,1362.0,15200
2025-06-26,1360.0,7700
2025-06-27,1365.0,7800
2025-06-30,1360.0,8300
2025-07-01,1355.0,10600
2025-07-02,1355.0,3700
2025-07-03,1357.0,5700
2025-07-04,1365.0,4200
2025-07-07,1368.0,8000
2025-07-08,1376.0,8000
2025-07-09,1383.0,6100
2025-07-10,1378.0,26800
2025-07-11,1386.0,13500
2025-07-14,1398.0,22900
2025-07-15,1379.0,10300
2025-07-16,1376.0,4700
2025-07-17,1377.0,2200
2025-07-18,1373.0,3500
2025-07-22,1371.0,5300
2025-07-23,1384.0,7100
2025-07-24,1387.0,7600
2025-07-25,1378.0,8100
2025-07-28,1376.0,5500
2025-07-29,1372.0,5100
2025-07-30,1367.0,6600
2025-07-31,1378.0,3500
