date,close,volume
2024-08-05,871.7,13897700
2024-08-06,974.1,9114100
2024-08-07,1006.5,6267300
2024-08-08,990.5,4317300
2024-08-09,996.7,5165700
2024-08-13,1022.0,4747900
2024-08-14,1034.5,3426300
2024-08-15,1047.5,2666500
2024-08-16,1057.0,2837000
2024-08-19,1047.5,2073500
2024-08-20,1050.0,1918700
2024-08-21,1046.0,1839000
2024-08-22,1042.5,1511300
2024-08-23,1060.0,2216600
2024-08-26,1047.0,1467100
2024-08-27,1049.5,1933600
2024-08-28,1046.5,1820500
2024-08-29,1043.0,2037300
2024-08-30,1048.5,3426900
2024-09-02,1061.0,2176400
2024-09-03,1082.0,2895800
2024-09-04,1053.0,3446500
2024-09-05,1054.0,2681400
2024-09-06,1042.0,2504600
2024-09-09,1046.5,3025700
2024-09-10,1041.5,2899200
2024-09-11,1023.0,3090700
2024-09-12,1031.0,3271500
2024-09-13,1023.0,2756900
2024-09-17,1019.0,3476700
2024-09-18,1022.0,2284600
2024-09-19,1030.5,2398500
2024-09-20,1033.0,4008000
2024-09-24,1028.0,4102100
2024-09-25,1017.0,4943100
2024-09-26,1032.5,4270200
2024-09-27,1021.5,5136500
2024-09-30,1010.5,4048000
2024-10-01,1022.5,3534300
2024-10-02,1018.5,3441800
2024-10-03,1016.0,3401200
2024-10-04,1020.5,2570900
2024-10-07,1028.5,4044100
2024-10-08,1010.0,4844600
2024-10-09,1009.5,3006300
2024-10-10,1011.5,2650500
2024-10-11,1006.5,2731800
2024-10-15,1007.0,3089400
2024-10-16,1013.5,3400900
2024-10-17,1011.5,2734300
2024-10-18,1013.5,2284600
2024-10-21,1005.0,2483600
2024-10-22,1003.5,4260800
2024-10-23,1002.0,2446000
2024-10-24,1001.0,4597200
2024-10-25,998.9,3443100
2024-10-28,1010.0,4046000
2024-10-29,1025.0,2945400
2024-10-30,1027.0,13101800
2024-10-31,1030.5,3750400
2024-11-01,1017.5,2560400
2024-11-05,1029.0,2495100
2024-11-06,1046.0,4225000
2024-11-07,1084.0,6331800
2024-11-08,1062.5,3071900
2024-11-11,1053.5,2285600
2024-11-12,1065.0,2125800
2024-11-13,1055.5,3007800
2024-11-14,1062.0,2676700
2024-11-15,1020.5,9316200
2024-11-18,1022.0,4101500
2024-11-19,1032.5,3202200
2024-11-20,1022.0,2994200
2024-11-21,1012.0,3281600
2024-11-22,1012.0,2644600
2024-11-25,1007.0,10442100
2024-11-26,1012.5,2976000
2024-11-27,1007.0,3657800
2024-11-28,1014.5,2040500
2024-11-29,1010.0,2122400
2024-12-02,1020.0,2972000
2024-12-03,1031.0,3903700
2024-12-04,1018.5,2583600
2024-12-05,1020.0,2567300
2024-12-06,1015.5,1871000
2024-12-09,1013.5,2214300
2024-12-10,1013.5,2655200
2024-12-11,1018.0,2856800
2024-12-12,1019.5,2822600
2024-12-13,1022.5,2745600
2024-12-16,1012.5,3164100
2024-12-17,1005.5,4092000
2024-12-18,1006.5,2157100
2024-12-19,1006.5,2733600
2024-12-20,1004.5,3141000
2024-12-23,1010.0,2544700
2024-12-24,1020.0,2158000
2024-12-25,1024.0,1936700
2024-12-26,1030.0,3134600
2024-12-27,1042.5,3706700
2024-12-30,1042.0,3524200
2025-01-06,1043.5,4702600
2025-01-07,1033.0,4722900
2025-01-08,1027.5,2822300
2025-01-09,1018.5,2458900
2025-01-10,1010.5,3122800
2025-01-14,1006.0,4026400
2025-01-15,1010.0,2407900
2025-01-16,1009.5,2894900
2025-01-17,1009.0,3142100
2025-01-20,1023.0,2579500
2025-01-21,1021.0,1977400
2025-01-22,1016.5,2537400
2025-01-23,1021.0,2219700
