date,close,volume
2024-08-05,873.9,1966900
2024-08-06,935.6,1376400
2024-08-07,916.8,1302300
2024-08-08,917.9,892400
2024-08-09,922.0,894400
2024-08-13,927.0,837900
2024-08-14,933.2,664500
2024-08-15,944.4,837100
2024-08-16,955.6,671900
2024-08-19,951.1,598200
2024-08-20,964.9,512300
2024-08-21,959.0,320300
2024-08-22,958.1,357900
2024-08-23,965.0,345000
2024-08-26,975.3,708300
2024-08-27,984.4,797400
2024-08-28,986.3,598500
2024-08-29,998.2,2403500
2024-08-30,1004.5,1345500
2024-09-02,1010.5,606700
2024-09-03,1014.0,471000
2024-09-04,991.3,703200
2024-09-05,989.5,575100
2024-09-06,988.0,525900
2024-09-09,995.4,679200
2024-09-10,997.0,583500
2024-09-11,970.0,786500
2024-09-12,983.9,805800
2024-09-13,974.7,497700
2024-09-17,980.8,518500
2024-09-18,981.1,570000
2024-09-19,1000.0,436600
2024-09-20,998.3,833500
2024-09-24,994.0,536000
2024-09-25,997.3,523700
2024-09-26,1017.5,781400
2024-09-27,1009.5,631600
2024-09-30,998.9,952400
2024-10-01,997.1,426100
2024-10-02,991.4,465200
2024-10-03,983.3,528800
2024-10-04,999.7,776200
2024-10-07,997.5,708600
2024-10-08,982.7,700800
2024-10-09,975.7,623400
2024-10-10,978.5,511100
2024-10-11,977.3,352100
2024-10-15,978.9,578400
2024-10-16,962.1,597200
2024-10-17,961.8,575700
2024-10-18,952.6,808200
2024-10-21,943.9,474100
2024-10-22,937.4,825300
2024-10-23,934.6,397700
2024-10-24,929.7,589200
2024-10-25,922.1,559800
2024-10-28,935.8,764300
2024-10-29,934.9,672700
2024-10-30,925.5,1003100
2024-10-31,926.4,583200
2024-11-01,873.9,2247500
2024-11-05,858.5,1826900
2024-11-06,889.0,1557000
2024-11-07,909.4,1206900
2024-11-08,909.8,1165400
2024-11-11,901.0,786500
2024-11-12,905.0,680300
2024-11-13,909.6,627900
2024-11-14,896.4,704700
2024-11-15,897.2,920300
2024-11-18,904.1,635700
2024-11-19,896.6,459200
2024-11-20,894.1,792500
2024-11-21,877.3,725100
2024-11-22,893.6,788000
2024-11-25,897.3,720700
2024-11-26,894.7,462200
2024-11-27,880.4,685600
2024-11-28,895.2,886400
2024-11-29,886.0,652800
2024-12-02,885.5,598900
2024-12-03,889.3,530000
2024-12-04,876.0,783200
2024-12-05,862.6,1010600
2024-12-06,871.0,523500
2024-12-09,867.8,695000
2024-12-10,863.8,599700
2024-12-11,869.6,646600
2024-12-12,882.3,766400
2024-12-13,872.0,1360000
2024-12-16,869.8,635100
2024-12-17,853.1,757800
2024-12-18,847.9,700200
2024-12-19,851.3,645700
2024-12-20,853.3,1246200
2024-12-23,850.2,727800
2024-12-24,859.0,704900
2024-12-25,858.9,604100
2024-12-26,864.0,531400
2024-12-27,869.1,499700
2024-12-30,876.0,786600
2025-01-06,867.8,763900
2025-01-07,867.7,644300
2025-01-08,866.8,749200
2025-01-09,857.8,802400
2025-01-10,856.1,620600
2025-01-14,850.1,1064900
2025-01-15,849.0,701900
2025-01-16,847.2,726700
2025-01-17,856.7,1015500
2025-01-20,862.0,608000
2025-01-21,860.0,766500
2025-01-22,864.0,536300
2025-01-23,865.6,789100
2025-01-24,867.8,791900
2025-01-27,876.3,848400
2025-01-28,869.3,643600
2025-01-29,867.9,493900
2025-01-30,874.0,701800
2025-01-31,878.6,666400
2025-02-03,810.0,3146000
2025-02-04,794.1,2688000
2025-02-05,802.7,1940800
2025-02-06,810.5,1265100
2025-02-07,809.1,945600
2025-02-10,819.0,1004000
2025-02-12,822.8,994800
2025-02-13,833.5,933900
2025-02-14,826.5,699000
2025-02-17,813.4,744100
2025-02-18,815.4,644900
2025-02-19,803.5,1005500
2025-02-20,800.8,925300
2025-02-21,800.1,775200
2025-02-25,807.0,1130700
2025-02-26,804.9,942200
2025-02-27,814.0,1320800
2025-02-28,798.8,1770600
2025-03-03,806.5,1075100
2025-03-04,796.0,1040800
2025-03-05,794.0,782100
2025-03-06,810.8,1271500
2025-03-07,809.0,1079100
2025-03-10,810.1,1026300
2025-03-11,804.9,1233700
2025-03-12,811.0,903100
2025-03-13,810.0,678100
2025-03-14,808.7,696700
2025-03-17,816.5,810200
2025-03-18,822.2,887900
2025-03-19,829.0,673800
2025-03-21,835.3,1265500
2025-03-24,827.5,942400
2025-03-25,836.2,1517300
2025-03-26,837.9,1286100
2025-03-27,839.2,1032300
2025-03-28,817.4,1343400
2025-03-31,792.3,1574600
2025-04-01,785.8,1167500
2025-04-02,780.0,1224700
2025-04-03,757.6,1942600
2025-04-04,737.3,2029500
2025-04-07,686.8,2551600
2025-04-08,724.4,1591300
2025-04-09,714.1,1192100
2025-04-10,743.4,1335900
2025-04-11,734.8,1113100
2025-04-14,738.7,1111400
2025-04-15,743.6,685500
2025-04-16,742.7,811600
2025-04-17,744.7,1183400
2025-04-18,756.2,871400
2025-04-21,756.6,813500
2025-04-22,794.6,2585800
2025-04-23,792.0,1678500
2025-04-24,785.8,1302400
2025-04-25,791.8,1790600
2025-04-28,801.4,953700
2025-04-30,796.0,1107000
2025-05-01,789.4,1054500
2025-05-02,789.6,1347100
2025-05-07,775.9,2303100
2025-05-08,784.4,1383800
2025-05-09,751.7,4705500
2025-05-12,756.9,2421700
2025-05-13,750.4,1956300
2025-05-14,759.8,1265600
