date,close,volume
2024-08-05,614.2,20282000
2024-08-06,675.2,17167000
2024-08-07,686.0,14492500
2024-08-08,696.6,9571500
2024-08-09,717.6,10678000
2024-08-13,734.6,8351500
2024-08-14,727.0,8511500
2024-08-15,734.4,7779500
2024-08-16,744.4,11339000
2024-08-19,705.0,31397000
2024-08-20,706.6,24949500
2024-08-21,700.0,12994000
2024-08-22,710.8,11690500
2024-08-23,717.8,8448500
2024-08-26,718.2,7019500
2024-08-27,736.8,10495500
2024-08-28,741.0,8697000
2024-08-29,747.2,6708500
2024-08-30,741.6,15209000
2024-09-02,759.4,8614000
2024-09-03,786.4,10701000
2024-09-04,770.0,9841000
2024-09-05,722.0,18813000
2024-09-06,716.8,12825000
2024-09-09,737.4,11532000
2024-09-10,747.4,7931000
2024-09-11,736.2,10356000
2024-09-12,763.2,8343000
2024-09-13,763.6,8874500
2024-09-17,763.0,9569000
2024-09-18,735.2,11335000
2024-09-19,736.2,8222000
2024-09-20,739.4,9960500
2024-09-24,733.0,7199500
2024-09-25,726.8,7195500
2024-09-26,745.6,8800500
2024-09-27,765.2,11118000
2024-09-30,739.0,9844000
2024-10-01,748.2,6223500
2024-10-02,745.6,6345000
2024-10-03,747.6,7225500
2024-10-04,736.4,10686500
2024-10-07,769.6,12458500
2024-10-08,745.4,7051000
2024-10-09,751.8,6113000
2024-10-10,747.6,8413000
2024-10-11,760.8,8572500
2024-10-15,777.6,14036500
2024-10-16,752.0,8292000
2024-10-17,750.0,7312500
2024-10-18,755.8,5952500
2024-10-21,753.8,4776500
2024-10-22,751.0,5088000
2024-10-23,749.0,5492000
2024-10-24,741.4,5992500
2024-10-25,732.6,5114500
2024-10-28,753.2,6880500
2024-10-29,754.2,4921000
2024-10-30,763.0,9113000
2024-10-31,765.6,5912500
2024-11-01,752.4,4992500
2024-11-05,743.4,7201500
2024-11-06,769.4,9569000
2024-11-07,759.4,7364500
2024-11-08,754.4,7876500
2024-11-11,743.6,11101500
2024-11-12,731.0,22189000
2024-11-13,737.0,22190000
2024-11-14,725.8,11926000
2024-11-15,739.4,8205500
2024-11-18,745.0,7226500
2024-11-19,750.2,5094000
2024-11-20,746.6,9200500
2024-11-21,730.8,7217000
2024-11-22,735.6,5986000
2024-11-25,747.2,16931500
2024-11-26,739.2,5842000
2024-11-27,751.6,5615500
2024-11-28,752.0,5657000
2024-11-29,761.4,6419500
2024-12-02,759.2,6394000
2024-12-03,762.0,6895500
2024-12-04,780.6,11465000
2024-12-05,772.4,8058500
2024-12-06,783.4,6084500
2024-12-09,789.4,4805000
2024-12-10,797.6,6925500
2024-12-11,826.6,9868000
2024-12-12,838.6,10644000
2024-12-13,842.4,8937500
2024-12-16,839.2,6613000
2024-12-17,838.8,7415500
2024-12-18,843.6,7783500
2024-12-19,839.6,8637000
2024-12-20,833.2,8179500
2024-12-23,828.8,5599500
2024-12-24,819.4,7119000
2024-12-25,803.8,8911500
2024-12-26,855.8,16538500
2024-12-27,872.2,10050000
2024-12-30,863.2,6400500
2025-01-06,855.4,8755000
2025-01-07,863.2,6217000
2025-01-08,850.8,9425500
2025-01-09,841.2,6631000
2025-01-10,845.2,5963000
2025-01-14,824.2,8609500
2025-01-15,816.4,6960500
2025-01-16,825.0,6128500
2025-01-17,826.4,4221000
2025-01-20,830.4,3849500
2025-01-21,825.6,4560500
2025-01-22,818.0,7600500
2025-01-23,820.8,7597000
2025-01-24,813.8,5317500
2025-01-27,823.8,7535000
2025-01-28,847.2,9478000
