date,close,volume
2024-08-05,1657.0,9102000
2024-08-06,1673.0,14768900
2024-08-07,1630.5,11373400
2024-08-08,1604.5,6500300
2024-08-09,1580.0,7083800
2024-08-13,1585.0,6374800
2024-08-14,1653.0,4708900
2024-08-15,1678.5,3208300
2024-08-16,1705.0,4585900
2024-08-19,1693.5,3072000
2024-08-20,1733.0,2298900
2024-08-21,1726.0,2134900
2024-08-22,1757.5,3909200
2024-08-23,1823.5,6335000
2024-08-26,1789.5,4450900
2024-08-27,1806.0,4491700
2024-08-28,1802.0,3049300
2024-08-29,1800.0,2387100
2024-08-30,1825.0,4880300
2024-09-02,1838.0,2659500
2024-09-03,1811.0,3162200
2024-09-04,1699.0,6070300
2024-09-05,1664.5,6086000
2024-09-06,1633.5,4045800
2024-09-09,1575.0,6652500
2024-09-10,1534.0,4775400
2024-09-11,1502.0,6288600
2024-09-12,1502.5,4438400
2024-09-13,1481.0,4532500
2024-09-17,1497.0,5412300
2024-09-18,1542.5,4726600
2024-09-19,1531.5,4411000
2024-09-20,1583.5,5963800
2024-09-24,1555.0,4971100
2024-09-25,1595.5,4566200
2024-09-26,1630.0,4925100
2024-09-27,1664.5,5095500
2024-09-30,1606.0,4942500
2024-10-01,1715.0,11129600
2024-10-02,1730.5,6180100
2024-10-03,1836.0,10010700
2024-10-04,1844.0,6102400
2024-10-07,1850.5,6303600
2024-10-08,1787.0,4265000
2024-10-09,1759.0,5401700
2024-10-10,1755.0,3083900
2024-10-11,1721.5,3498300
2024-10-15,1734.5,2882100
2024-10-16,1734.0,4612600
2024-10-17,1712.5,2364000
2024-10-18,1699.5,1904200
2024-10-21,1710.0,2284400
2024-10-22,1648.0,3327200
2024-10-23,1674.0,3927500
2024-10-24,1684.5,3329600
2024-10-25,1686.0,2833500
2024-10-28,1710.5,2610400
2024-10-29,1740.0,2936700
2024-10-30,1747.0,5125700
2024-10-31,1716.5,4984000
2024-11-01,1652.0,4857100
2024-11-05,1669.5,4514000
2024-11-06,1703.0,5512900
2024-11-07,1720.0,7779200
2024-11-08,1563.5,14908400
2024-11-11,1545.5,6464200
2024-11-12,1526.0,6031900
2024-11-13,1504.0,3949900
2024-11-14,1446.0,6495600
2024-11-15,1439.5,6266200
2024-11-18,1448.5,4989500
2024-11-19,1459.0,5715000
2024-11-20,1448.5,4455700
2024-11-21,1446.5,4572300
2024-11-22,1414.0,5106200
2024-11-25,1481.5,21699300
2024-11-26,1430.0,4695700
2024-11-27,1423.0,4495800
2024-11-28,1440.0,3922900
2024-11-29,1405.0,2942000
2024-12-02,1412.5,4909700
2024-12-03,1415.0,4830200
2024-12-04,1406.5,4880600
2024-12-05,1394.5,3394600
2024-12-06,1384.0,2925600
2024-12-09,1415.5,3699100
2024-12-10,1460.0,6136700
2024-12-11,1446.5,2768200
2024-12-12,1444.0,2558200
2024-12-13,1416.0,2978000
2024-12-16,1383.0,3813100
2024-12-17,1379.5,3059500
2024-12-18,1435.0,6228300
2024-12-19,1419.5,3123500
2024-12-20,1409.0,4251500
2024-12-23,1424.5,3341700
2024-12-24,1436.0,3038400
2024-12-25,1431.0,2092800
2024-12-26,1434.5,2288700
2024-12-27,1490.0,3681200
2024-12-30,1485.5,1890200
2025-01-06,1501.5,3511100
2025-01-07,1564.5,5277400
2025-01-08,1559.5,3206500
2025-01-09,1495.5,4527700
2025-01-10,1468.5,2699100
2025-01-14,1421.0,4393800
2025-01-15,1429.0,3050200
2025-01-16,1413.0,2414200
2025-01-17,1418.0,4267500
2025-01-20,1484.5,5220100
2025-01-21,1491.5,2839100
2025-01-22,1520.0,3205400
2025-01-23,1546.5,3473700
2025-01-24,1530.0,2595400
2025-01-27,1529.0,1991200
2025-01-28,1528.5,2254200
2025-01-29,1505.0,2499300
2025-01-30,1489.0,2356800
2025-01-31,1488.0,3020800
2025-02-03,1472.5,5138600
2025-02-04,1490.5,7521200
2025-02-05,1466.5,3261600
2025-02-06,1520.5,3442300
2025-02-07,1544.5,3377900
2025-02-10,1557.5,3450300
2025-02-12,1560.0,2980700
2025-02-13,1575.0,2286200
2025-02-14,1577.0,2484700
2025-02-17,1596.0,3109100
2025-02-18,1585.0,1630200
2025-02-19,1604.0,2707400
2025-02-20,1667.0,6140400
2025-02-21,1636.5,3901100
2025-02-25,1588.5,4656600
2025-02-26,1550.0,2491500
2025-02-27,1553.0,2290300
2025-02-28,1489.0,4074800
2025-03-03,1510.5,2585900
2025-03-04,1468.0,3509200
2025-03-05,1501.5,2742900
